Face,Track Number,Track_Name,Track_Composer,Track_Length,LP_ID,Track Length,Track Filename
B,3,PITOGUE YURU MY YN I,(Valerio Pereira-Mamerto González),,LP2714,2'58,LP2714_1z1_B03.mp3
B,4,GLADYS MIRTHA,(Esteban López),,LP2714,2'30,LP2714_1z1_B04.mp3
B,5,NDE ARA YVOTY,(Agustín Pérez),,LP2714,2'26,LP2714_1z1_B05.mp3
B,6,JHA CARAPEGUA,(G. B. Lezcano-C. Villalba-E. López),,LP2714,3'08,LP2714_1z1_B06.mp3
1a,1,EL CONIFERAL,Marea,2.03,LP2709,missing,LP2709_1z1_1a01.mp3
1b,2,PAJARITO CANTOR,Taquirari de fuego,2.10,LP2709,missing,LP2709_1z1_1b02.mp3
1a,3,CHOLA MODERNA,Marea,2.30,LP2709,missing,LP2709_1z1_1a03.mp3
1b,4,MARIA INES,Marea lenta,2.05,LP2709,missing,LP2709_1z1_1b04.mp3
1a,5,EL MAR DE PUJATO,Marea lenta,2.10,LP2709,missing,LP2709_1z1_1a05.mp3
1b,6,DE SAN JUAN,Taquirari de fuego,208,LP2709,missing,LP2709_1z1_1b06.mp3
2a,1,PLATERITO,Taquirari de fuego,1.45,LP2709,missing,LP2709_1z1_2a01.mp3
2b,2,MAREA DEL CUMPLEAÑOS,,1:27,LP2709,missing,LP2709_1z1_2b02.mp3
2a,3,AMOROSAS,Taquirari de fuego,2.05,LP2709,missing,LP2709_1z1_2a03.mp3
2b,4,PARA VIGO ME VOY,Marea,240,LP2709,missing,LP2709_1z1_2b04.mp3
2a,5,SALTARIN,Marea lenta,,LP2709,missing,LP2709_1z1_2a05.mp3
2b,6,CARLOS PAZ,Taquirari,1.26,LP2709,missing,LP2709_1z1_2b06.mp3
1.a,1,SARIA,(Canto del Saria) - Polca,2:46,LP2713,missing,LP2713_1z1_1.a01.mp3
1.b,2,VACA RETA,(Querencia del ganado) - Polca,3:18,LP2713,missing,LP2713_1z1_1.b02.mp3
1.c,3,VARELITA SAPUCAI,(El grito de Varelita) - Galopa,1:50,LP2713,missing,LP2713_1z1_1.c03.mp3
1.d,4,BAHIA NEGRA POTY,(Flor de Bahía Negra) - Polca,2:32,LP2713,missing,LP2713_1z1_1.d04.mp3
1.e,5,LAS TRES MARIAS,Polca,2:10,LP2713,missing,LP2713_1z1_1.e05.mp3
1.f,6,SOLDADO CHACO,Polca,2:37,LP2713,missing,LP2713_1z1_1.f06.mp3
2.a,1,PYCUIPE,(Torcacita) - Polca,2:38,LP2713,missing,LP2713_1z1_2.a01.mp3
2.b,2,CHACO BOREAL,Marcha,2:28,LP2713,missing,LP2713_1z1_2.b02.mp3
2.c,3,MBORALJHU JHA TAPERE,(Tapera y amor) Polca,2:52,LP2713,missing,LP2713_1z1_2.c03.mp3
2.d,4,A MI ESTELITA,Polca,2:37,LP2713,missing,LP2713_1z1_2.d04.mp3
2.e,5,CO-AICHANTE AICOSE,(Quisiera vivir así) - Canción,3:12,LP2713,missing,LP2713_1z1_2.e05.mp3
2.f,6,ROSA ISABEL,Polca,2:51,LP2713,missing,LP2713_1z1_2.f06.mp3
2.g,7,EN MI PENSAMIENTO,Canción,3:33,LP2713,missing,LP2713_1z1_2.g07.mp3
2.h,8,VIVA SAN JUAN,Polca,2:13,LP2713,missing,LP2713_1z1_2.h08.mp3
A,1,Eso es el carnaval,"chant seul
populaire",1'57,LP2706,2'00,LP2706_1z1_A01.mp3
A,2,Concerto pour un été,"fanfare
Alain Morisod",2'10,LP2706,2'00,LP2706_1z1_A02.mp3
A,3,"Murga
Chant avec rythmique
(Pot-pourri)",,2'03,LP2706,2'41,LP2706_1z1_A03.mp3
A,4,"Llamadas
(tambours)",,4'19,LP2706,4'24,LP2706_1z1_A04.mp3
A,5,"Yo no se que me han hecho tus ojos
populaire",,2'20,LP2706,2'10,LP2706_1z1_A05.mp3
A,6,"Murga
chant",,2'00,LP2706,2'04,LP2706_1z1_A06.mp3
